Year,State,value
1936,Ohio,136.5240406
1936,Okla.,15.22198732
1936,Ore.,919.1219512
1936,Pa.,243.5036347
1936,R.I.,368.6588921
1936,S.C.,48.23133071
1936,S.D.,33.63363363
1936,Tenn.,50.16123253
1936,Texas,125.5813953
1936,Utah,117.8368121
1936,Va.,127.8409091
1936,Vt.,2974.789916
1936,Wash.,463.7023593
1936,Wis.,126.541207
1936,W.Va.,63.27433628
1936,Wyo.,57.5
1937,Alaska,
1937,Ala.,22.44750181
1937,Ark.,16.9206516
1937,Ariz.,837.3068433
1937,Calif.,78.23223039
1937,Colo.,93.02536232
1937,Conn.,606.7342074
1937,D.C.,333.2792208
1937,Del.,707.0866142
1937,Fla.,23.05441779
1937,Ga.,
1937,Hawaii,
1937,Iowa,10.76861489
1937,Idaho,243.1952663
1937,Ill.,146.9390353
1937,Ind.,210.0770599
1937,Kan.,42.13362069
1937,Ky.,245.7614943
1937,La.,20.73548959
1937,Mass.,478.3386875
1937,Md.,698.1755986
1937,Maine,134.3230404
1937,Mich.,115.599839
1937,Minn.,25.12745812
1937,Mo.,186.4259357
1937,Miss.,0
1937,Mont.,111.732852
1937,N.C.,226.05613
1937,N.D.,8.396946565
1937,Neb.,34.50336072
1937,N.H.,393.1392931
1937,N.J.,1108.953033
1937,N.M,487.2763419
1937,Nev.,
1937,N.Y.,202.8273259
1937,Ohio,366.3386694
1937,Okla.,45.62982005
1937,Ore.,38.16793893
1937,Pa.,390.9090909
1937,R.I.,679.2507205
1937,S.C.,99.16759156
1937,S.D.,9.908536585
1937,Tenn.,106.4042934
1937,Texas,235.104
1937,Utah,396.7863894
1937,Va.,337.4131274
1937,Vt.,289.3258427
1937,Wash.,103.3313504
1937,Wis.,66.54792746
1937,W.Va.,110.03861
1937,Wyo.,69.95884774
1938,Alaska,
1938,Ala.,496.4298529
1938,Ark.,356.716805
1938,Ariz.,149.3562232
1938,Calif.,278.3052885
1938,Colo.,823.6960432
1938,Conn.,107.5415677
1938,D.C.,115.5956113
1938,Del.,235.9922179
1938,Fla.,517.8430265
1938,Ga.,299.935296
1938,Hawaii,
1938,Iowa,223.1956696
1938,Idaho,425.7309942
1938,Ill.,1145.156369
1938,Ind.,523.1836976
1938,Kan.,583.0618893
1938,Ky.,393.4821429
1938,La.,44.74835886
1938,Mass.,229.9885452
1938,Md.,159.0600227
1938,Maine,509.6678529
1938,Mich.,1505.528085
1938,Minn.,256.1932437
1938,Mo.,525.4033325
1938,Miss.,0
1938,Mont.,1119.746377
1938,N.C.,1383.343023
1938,N.D.,863.446677
1938,Neb.,209.0874811
1938,N.H.,341.3402062
1938,N.J.,716.9756098
1938,N.M,628.9473684
1938,Nev.,
1938,N.Y.,518.857312
1938,Ohio,694.2811174
1938,Okla.,116.630809
1938,Ore.,121.8837863
