freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN_ELC,PC,MK	14.511 	13.989 	14.011 	13.671 	13.848 	15.471 	15.847 	14.849 	16.659 	18.206 	19.273 	21.663 	24.138 	24.839 	24.838 	23.778 	23.532 	21.784 	24.489 
A,REN_ELC,PC,MT	0 	0 	0 	0 	0 	0 	0.032 	0.454 	1.115 	1.571 	3.333 	4.312 	5.714 	6.845 	7.702 	7.485 	9.489 	9.649 	10.126 
A,REN_ELC,PC,NL	4.446 	6.297 	6.541 	5.963 	7.464 	9.069 	9.601 	9.74 	10.35 	9.911 	9.924 	11.04 	12.55 	13.812 	15.171 	18.23 	26.407 	33.266 	39.916 
A,REN_ELC,PC,NO	97.973 	97.423 	100.843 	99.052 	100.154 	105.191 	98.252 	105.887 	104.599 	106.917 	110.135 	106.83 	105.638 	104.85 	106.829 	110.445 	113.802 	113.642 	120.01 
A,REN_ELC,PC,PL	2.049 	2.512 	2.86 	3.316 	4.248 	5.713 	6.549 	8.078 	10.61 	10.676 	12.36 	13.401 	13.342 	13.082 	13.027 	14.356 	16.237 	17.166 	21.009 
A,REN_ELC,PC,PT	27.39 	27.703 	29.308 	32.285 	34.063 	37.562 	40.608 	45.78 	47.505 	49.101 	52.054 	52.616 	53.99 	54.168 	52.186 	53.774 	58.032 	58.433 	60.959 
A,REN_ELC,PC,RO	28.427 	28.775 	28.054 	28.108 	28.075 	30.894 	30.378 	31.131 	33.567 	37.516 	41.679 	43.161 	42.712 	41.965 	41.793 	42.616 	43.374 	42.676 	43.725 
A,REN_ELC,PC,RS	18.486 	22.366 	23.603 	24.812 	25.858 	28.252 	28.183 	27.526 	28.509 	27.971 	30.274 	28.915 	29.154 	27.448 	28.658 	30.107 	30.701 	29.897 	30.142 
A,REN_ELC,PC,SE	51.196 	50.899 	51.783 	53.21 	53.687 	58.252 	55.767 	59.624 	59.779 	61.737 	63.214 	65.733 	64.869 	65.909 	66.228 	71.234 	74.495 	75.76 	83.34 
A,REN_ELC,PC,SI	29.271 	28.654 	28.231 	27.697 	29.962 	33.756 	32.2 	31.045 	31.637 	33.081 	33.935 	32.722 	32.056 	32.425 	32.307 	32.632 	35.095 	34.976 	37.005 
A,REN_ELC,PC,SK	15.403 	15.735 	16.566 	16.467 	17.013 	17.765 	17.774 	19.305 	20.054 	20.8 	22.87 	22.656 	22.513 	21.343 	21.499 	22.103 	23.066 	22.403 	22.901 
A,REN_ELC,PC,XK	0.472 	0.611 	0.907 	0.971 	0.971 	1.136 	1.361 	1.368 	1.496 	1.628 	1.867 	1.842 	3.973 	3.622 	4.234 	5.155 	5.259 	5.141 	6.685 
